   Trace   : /mnt/ussjf-asic2/workarea1/lkamired/niue1z1_tmp/lkamired/wa_performance/SIM/top/ahbfab_cov.m33i_ram0/uvm_test_top.top_env_i.ahbfab_env_i.mvc_ahb_mon_8_env_i_ahb_beat.log

   Picked  : Instance: uvm_test_top.top_env_i.ahbfab_env_i.mvc_ahb_mon_8_env_i.logger_handle_ahb :: Header
             Instance: uvm_test_top.top_env_i.ahbfab_env_i.mvc_ahb_mon_8_env_i.logger_handle_ahb
   Picked  : AHB Clk Cycle = 40 ns; AHB Clk Frequency = 25.00 MHz; Data bus width = 32 bits
             AHB Clk Cycle = 40 ns; AHB Clk Frequency = 25.00 MHz; Data bus width = 32 bits
   Skipped : ------------------------------------------------------------------------------------------------------------------------------------------
   Skipped : |NONSEQ/SEQ Assert Time |  HREADY Assert Time   |  DIR     |   ADDR   | BEAT  |  L |   DATA   |  RESP  | BURST| BURST   | H |    HSEL    |
   Skipped : |                       |                       |   -      |          |  NUM  |  E |          |        | Type | Size    | P |   (SLAVE   |
   Skipped : |                       |                       | PHASE    |          |       |  N |          |        |      |= 2^HSIZE| R |    INDEX)  |
   Skipped : |                       |                       |          |          |       |    |          |        |      | bytes   | O |            |
   Skipped : |                       |                       |          |          |       |    |          |        |      |         | T |            |
   Skipped : |                       |                       |          |          |       |    |          |        |      |         |   |            |
   Skipped : ------------------------------------------------------------------------------------------------------------------------------------------
   Picked  : |              213940 ns|              213980 ns|RD-NONSEQ | F832116C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
             |              213940 ns|              213980 ns|RD-NONSEQ | F832116C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
   Picked  : |              213980 ns|              214780 ns|RD-DATA   | F832116C |  1/ 1 | -- | 00000181 |  OKAY  | ---- | ------- | - | ---------- |
             |              213980 ns|              214780 ns|RD-DATA   | F832116C |  1/ 1 | -- | 00000181 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              215220 ns|              215260 ns|WR-NONSEQ | F832116C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
             |              215220 ns|              215260 ns|WR-NONSEQ | F832116C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
   Picked  : |              215260 ns|              215900 ns|WR-DATA   | F832116C |  1/ 1 | -- | 00000181 |  OKAY  | ---- | ------- | - | ---------- |
             |              215260 ns|              215900 ns|WR-DATA   | F832116C |  1/ 1 | -- | 00000181 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              216700 ns|              216740 ns|RD-NONSEQ | F832116C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
             |              216700 ns|              216740 ns|RD-NONSEQ | F832116C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
   Picked  : |              216740 ns|              217500 ns|RD-DATA   | F832116C |  1/ 1 | -- | 00000181 |  OKAY  | ---- | ------- | - | ---------- |
             |              216740 ns|              217500 ns|RD-DATA   | F832116C |  1/ 1 | -- | 00000181 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              217940 ns|              217980 ns|WR-NONSEQ | F832116C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
             |              217940 ns|              217980 ns|WR-NONSEQ | F832116C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
   Picked  : |              217980 ns|              218620 ns|WR-DATA   | F832116C |  1/ 1 | -- | 00000180 |  OKAY  | ---- | ------- | - | ---------- |
             |              217980 ns|              218620 ns|WR-DATA   | F832116C |  1/ 1 | -- | 00000180 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              219220 ns|              219260 ns|RD-NONSEQ | F832116C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
             |              219220 ns|              219260 ns|RD-NONSEQ | F832116C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
   Picked  : |              219260 ns|              219900 ns|RD-DATA   | F832116C |  1/ 1 | -- | 00000180 |  OKAY  | ---- | ------- | - | ---------- |
             |              219260 ns|              219900 ns|RD-DATA   | F832116C |  1/ 1 | -- | 00000180 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              220340 ns|              220380 ns|WR-NONSEQ | F832116C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
             |              220340 ns|              220380 ns|WR-NONSEQ | F832116C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
   Picked  : |              220380 ns|              221020 ns|WR-DATA   | F832116C |  1/ 1 | -- | 00000180 |  OKAY  | ---- | ------- | - | ---------- |
             |              220380 ns|              221020 ns|WR-DATA   | F832116C |  1/ 1 | -- | 00000180 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              221420 ns|              221460 ns|RD-NONSEQ | F8321170 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
             |              221420 ns|              221460 ns|RD-NONSEQ | F8321170 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
   Picked  : |              221460 ns|              222220 ns|RD-DATA   | F8321170 |  1/ 1 | -- | 00000693 |  OKAY  | ---- | ------- | - | ---------- |
             |              221460 ns|              222220 ns|RD-DATA   | F8321170 |  1/ 1 | -- | 00000693 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              222660 ns|              222700 ns|WR-NONSEQ | F8321170 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
             |              222660 ns|              222700 ns|WR-NONSEQ | F8321170 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
   Picked  : |              222700 ns|              223420 ns|WR-DATA   | F8321170 |  1/ 1 | -- | 00000693 |  OKAY  | ---- | ------- | - | ---------- |
             |              222700 ns|              223420 ns|WR-DATA   | F8321170 |  1/ 1 | -- | 00000693 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              223820 ns|              223860 ns|RD-NONSEQ | F8321174 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
             |              223820 ns|              223860 ns|RD-NONSEQ | F8321174 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
   Picked  : |              223860 ns|              224620 ns|RD-DATA   | F8321174 |  1/ 1 | -- | 000000FB |  OKAY  | ---- | ------- | - | ---------- |
             |              223860 ns|              224620 ns|RD-DATA   | F8321174 |  1/ 1 | -- | 000000FB |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              225060 ns|              225100 ns|WR-NONSEQ | F8321174 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
             |              225060 ns|              225100 ns|WR-NONSEQ | F8321174 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
   Picked  : |              225100 ns|              225740 ns|WR-DATA   | F8321174 |  1/ 1 | -- | 000000FB |  OKAY  | ---- | ------- | - | ---------- |
             |              225100 ns|              225740 ns|WR-DATA   | F8321174 |  1/ 1 | -- | 000000FB |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              226140 ns|              226180 ns|RD-NONSEQ | F832116C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
             |              226140 ns|              226180 ns|RD-NONSEQ | F832116C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
   Picked  : |              226180 ns|              226940 ns|RD-DATA   | F832116C |  1/ 1 | -- | 00000180 |  OKAY  | ---- | ------- | - | ---------- |
             |              226180 ns|              226940 ns|RD-DATA   | F832116C |  1/ 1 | -- | 00000180 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              227380 ns|              227420 ns|WR-NONSEQ | F832116C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
             |              227380 ns|              227420 ns|WR-NONSEQ | F832116C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
   Picked  : |              227420 ns|              228060 ns|WR-DATA   | F832116C |  1/ 1 | -- | 00000380 |  OKAY  | ---- | ------- | - | ---------- |
             |              227420 ns|              228060 ns|WR-DATA   | F832116C |  1/ 1 | -- | 00000380 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              238460 ns|              238500 ns|RD-NONSEQ | F832116C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
             |              238460 ns|              238500 ns|RD-NONSEQ | F832116C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
   Picked  : |              238500 ns|              239260 ns|RD-DATA   | F832116C |  1/ 1 | -- | 00000380 |  OKAY  | ---- | ------- | - | ---------- |
             |              238500 ns|              239260 ns|RD-DATA   | F832116C |  1/ 1 | -- | 00000380 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              239700 ns|              239740 ns|WR-NONSEQ | F832116C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
             |              239700 ns|              239740 ns|WR-NONSEQ | F832116C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
   Picked  : |              239740 ns|              240460 ns|WR-DATA   | F832116C |  1/ 1 | -- | 00000382 |  OKAY  | ---- | ------- | - | ---------- |
             |              239740 ns|              240460 ns|WR-DATA   | F832116C |  1/ 1 | -- | 00000382 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              290860 ns|              290900 ns|RD-NONSEQ | F832116C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
             |              290860 ns|              290900 ns|RD-NONSEQ | F832116C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
   Picked  : |              290900 ns|              291660 ns|RD-DATA   | F832116C |  1/ 1 | -- | 00000382 |  OKAY  | ---- | ------- | - | ---------- |
             |              290900 ns|              291660 ns|RD-DATA   | F832116C |  1/ 1 | -- | 00000382 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              292100 ns|              292140 ns|WR-NONSEQ | F832116C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
             |              292100 ns|              292140 ns|WR-NONSEQ | F832116C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
   Picked  : |              292140 ns|              292780 ns|WR-DATA   | F832116C |  1/ 1 | -- | 00000282 |  OKAY  | ---- | ------- | - | ---------- |
             |              292140 ns|              292780 ns|WR-DATA   | F832116C |  1/ 1 | -- | 00000282 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              293380 ns|              293420 ns|RD-NONSEQ | F832116C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
             |              293380 ns|              293420 ns|RD-NONSEQ | F832116C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
