 ================================================================================
 Tracefile   : uvm_test_top.top_env_i.ahbfab_env_i.mvc_ahb_mst_4_env_i.logger_handle_ahb
               /mnt/ussjf-asic2/workarea1/lkamired/niue1z1_tmp/lkamired/wa_performance/SIM/top/ahbfab_cov.m33i_ram0/uvm_test_top.top_env_i.ahbfab_env_i.mvc_ahb_mst_4_env_i_ahb_beat.log
 Synopsis    : TransactionAnalysis windowed
 Script      : parse_ahb_tracker.pl 1.04.01
 Date        : 2018-09-22
 Time        :   17:23:56
 Cycle       :          5 ns
 Frequency   :     200.00 MHz
 Start       :     609046 ns
 Stop        :    1323961 ns
 ================================================================================

START pointer HASH(0x451f670)
Transaction#  4
Start time    609046

STOP  pointer HASH(0x63e1a40)
Transaction#  2451
Stop time     1323961

     4 #       609046  ns 1
     5 #       609136  ns 2
     6 #       609231  ns 3
     7 #       609326  ns 4
     8 #       609421  ns 5
     9 #       609511  ns 6
    10 #       609601  ns 7
    11 #       609691  ns 8
    12 #       609786  ns 9
    13 #       609876  ns 10
    14 #       609971  ns 11
    15 #       610066  ns 12
    16 #       610381  ns 13
    17 #       610951  ns 14
    18 #       611521  ns 15
    19 #       612061  ns 16
    20 #       612601  ns 17
    21 #       613171  ns 18
    22 #       613711  ns 19
    23 #       614251  ns 20
    24 #       614791  ns 21
    25 #       615331  ns 22
    26 #       615901  ns 23
    27 #       616441  ns 24
    28 #       617011  ns 25
    29 #       617581  ns 26
    30 #       618151  ns 27
    31 #       618721  ns 28
    32 #       619261  ns 29
    33 #       619831  ns 30
    34 #       620371  ns 31
    35 #       620586  ns 32
    36 #       620681  ns 33
    37 #       620776  ns 34
    38 #       620871  ns 35
    39 #       620966  ns 36
    40 #       621061  ns 37
    41 #       621151  ns 38
    42 #       621236  ns 39
    43 #       621326  ns 40
    44 #       621371  ns 41
    45 #       621416  ns 42
    46 #       621466  ns 43
    47 #       621496  ns 44
    48 #       621561  ns 45
    49 #       621606  ns 46
    50 #       621731  ns 47
    51 #       621906  ns 48
    52 #       621946  ns 49
    53 #       622191  ns 50
    54 #       622271  ns 51
    55 #       622351  ns 52
    56 #       622516  ns 53
    57 #       622646  ns 54
    58 #       622741  ns 55
    59 #       622836  ns 56
    60 #       622926  ns 57
    61 #       623031  ns 58
    62 #       623226  ns 59
    63 #       623301  ns 60
    64 #       623471  ns 61
    65 #       623601  ns 62
    66 #       623791  ns 63
    67 #       623996  ns 64
    68 #       624161  ns 65
    69 #       624381  ns 66
    70 #       624586  ns 67
    71 #       624736  ns 68
    72 #       624841  ns 69
    73 #       625001  ns 70
    74 #       625091  ns 71
    75 #       625231  ns 72
    76 #       625346  ns 73
    77 #       625581  ns 74
    78 #       625741  ns 75
    79 #       625821  ns 76
    80 #       625981  ns 77
    81 #       626036  ns 78
    82 #       626126  ns 79
    83 #       626336  ns 80
    84 #       626551  ns 81
    85 #       626701  ns 82
    86 #       626886  ns 83
    87 #       627026  ns 84
    88 #       627131  ns 85
    89 #       627146  ns 86
    90 #       627256  ns 87
    91 #       627361  ns 88
    92 #       627501  ns 89
    93 #       627561  ns 90
    94 #       627701  ns 91
    95 #       627746  ns 92
    96 #       627936  ns 93
    97 #       627986  ns 94
    98 #       628081  ns 95
    99 #       628171  ns 96
   100 #       628221  ns 97
   101 #       628236  ns 98
   102 #       628251  ns 99
   103 #       628271  ns 100
   104 #       628321  ns 101
   105 #       628366  ns 102
   106 #       628381  ns 103
   107 #       628411  ns 104
   108 #       628441  ns 105
   109 #       628471  ns 106
   110 #       628501  ns 107
   111 #       628591  ns 108
   112 #       628921  ns 109
   113 #       629041  ns 110
   114 #       629611  ns 111
   115 #       630151  ns 112
   116 #       630241  ns 113
   117 #       630301  ns 114
   118 #       630361  ns 115
   119 #       630421  ns 116
   120 #       630511  ns 117
   121 #       630721  ns 118
   122 #       630931  ns 119
   123 #       631051  ns 120
   124 #       631141  ns 121
   125 #       631231  ns 122
   126 #       631321  ns 123
   127 #       631861  ns 124
   128 #       632401  ns 125
   129 #       632941  ns 126
   130 #       633511  ns 127
   131 #       633841  ns 128
   132 #       634141  ns 129
   133 #       634261  ns 130
   134 #       634831  ns 131
   135 #       635401  ns 132
   136 #       635491  ns 133
   137 #       636031  ns 134
   138 #       636571  ns 135
   139 #       637111  ns 136
   140 #       637681  ns 137
   141 #       637891  ns 138
   142 #       638101  ns 139
   143 #       638221  ns 140
   144 #       638971  ns 141
   145 #       639721  ns 142
   146 #       639811  ns 143
   147 #       640351  ns 144
   148 #       640891  ns 145
   149 #       641431  ns 146
   150 #       641971  ns 147
   151 #       642031  ns 148
   152 #       642091  ns 149
   153 #       642211  ns 150
   154 #       642421  ns 151
   155 #       642631  ns 152
   156 #       642721  ns 153
   157 #       642871  ns 154
   158 #       643021  ns 155
   159 #       643171  ns 156
   160 #       643321  ns 157
   161 #       643381  ns 158
   162 #       643441  ns 159
   163 #       643531  ns 160
   164 #       644071  ns 161
   165 #       644611  ns 162
   166 #       644701  ns 163
   167 #       645241  ns 164
   168 #       645781  ns 165
   169 #       646321  ns 166
   170 #       646861  ns 167
   171 #       647461  ns 168
   172 #       648061  ns 169
   173 #       648151  ns 170
   174 #       648691  ns 171
   175 #       649231  ns 172
   176 #       649351  ns 173
   177 #       650281  ns 174
   178 #       651211  ns 175
   179 #       652141  ns 176
   180 #       653071  ns 177
   181 #       653281  ns 178
   182 #       653491  ns 179
   183 #       653581  ns 180
   184 #       654121  ns 181
   185 #       654691  ns 182
   186 #       654781  ns 183
   187 #       654841  ns 184
   188 #       654901  ns 185
   189 #       654961  ns 186
   190 #       655021  ns 187
   191 #       655561  ns 188
   192 #       656101  ns 189
   193 #       656191  ns 190
   194 #       656341  ns 191
   195 #       656521  ns 192
   196 #       656611  ns 193
   197 #       656761  ns 194
   198 #       656911  ns 195
   199 #       657061  ns 196
   200 #       657211  ns 197
   201 #       657361  ns 198
   202 #       657511  ns 199
   203 #       657631  ns 200
   204 #       658141  ns 201
   205 #       658621  ns 202
   206 #       658741  ns 203
   207 #       659311  ns 204
   208 #       659881  ns 205
   209 #       660451  ns 206
   210 #       660991  ns 207
   211 #       661291  ns 208
   212 #       661591  ns 209
   213 #       661681  ns 210
   214 #       661741  ns 211
   215 #       661801  ns 212
   216 #       661921  ns 213
   217 #       662971  ns 214
   218 #       664021  ns 215
   219 #       665071  ns 216
   220 #       666121  ns 217
   221 #       666211  ns 218
   222 #       666301  ns 219
   223 #       666421  ns 220
   224 #       667261  ns 221
   225 #       668071  ns 222
   226 #       668191  ns 223
   227 #       668281  ns 224
   228 #       668371  ns 225
   229 #       668461  ns 226
   230 #       668551  ns 227
   231 #       668881  ns 228
   232 #       669181  ns 229
   233 #       669301  ns 230
   234 #       669631  ns 231
   235 #       669931  ns 232
   236 #       670021  ns 233
   237 #       670891  ns 234
   238 #       671761  ns 235
   239 #       672631  ns 236
   240 #       673531  ns 237
   241 #       673861  ns 238
   242 #       674161  ns 239
   243 #       674281  ns 240
   244 #       674611  ns 241
   245 #       674911  ns 242
   246 #       675001  ns 243
   247 #       675181  ns 244
   248 #       675361  ns 245
   249 #       675541  ns 246
   250 #       675721  ns 247
   251 #       675871  ns 248
   252 #       676021  ns 249
   253 #       676141  ns 250
   254 #       676711  ns 251
   255 #       677281  ns 252
   256 #       677401  ns 253
   257 #       677971  ns 254
   258 #       678541  ns 255
   259 #       679111  ns 256
   260 #       679651  ns 257
   261 #       679711  ns 258
   262 #       679771  ns 259
   263 #       679891  ns 260
   264 #       680461  ns 261
   265 #       681031  ns 262
   266 #       681151  ns 263
   267 #       681241  ns 264
   268 #       681331  ns 265
   269 #       681421  ns 266
   270 #       681511  ns 267
   271 #       681691  ns 268
   272 #       681841  ns 269
   273 #       681961  ns 270
   274 #       682291  ns 271
   275 #       682591  ns 272
   276 #       682681  ns 273
   277 #       682861  ns 274
   278 #       683041  ns 275
   279 #       683221  ns 276
   280 #       683431  ns 277
   281 #       683641  ns 278
   282 #       683851  ns 279
   283 #       683971  ns 280
   284 #       684181  ns 281
   285 #       684361  ns 282
   286 #       684451  ns 283
   287 #       684991  ns 284
   288 #       685531  ns 285
   289 #       686071  ns 286
   290 #       686641  ns 287
   291 #       686851  ns 288
   292 #       687061  ns 289
   293 #       687151  ns 290
   294 #       688171  ns 291
   295 #       689191  ns 292
   296 #       689311  ns 293
   297 #       689671  ns 294
   298 #       690031  ns 295
   299 #       690391  ns 296
   300 #       690751  ns 297
   301 #       691081  ns 298
   302 #       691381  ns 299
   303 #       691501  ns 300
   304 #       691831  ns 301
   305 #       692131  ns 302
   306 #       692251  ns 303
   307 #       692431  ns 304
   308 #       692611  ns 305
   309 #       692791  ns 306
   310 #       692941  ns 307
   311 #       693121  ns 308
   312 #       693331  ns 309
   313 #       693451  ns 310
   314 #       693661  ns 311
   315 #       693841  ns 312
   316 #       693931  ns 313
   317 #       694441  ns 314
   318 #       694951  ns 315
   319 #       695461  ns 316
   320 #       696001  ns 317
   321 #       696181  ns 318
   322 #       696361  ns 319
   323 #       696481  ns 320
   324 #       696811  ns 321
   325 #       697141  ns 322
   326 #       697231  ns 323
   327 #       697771  ns 324
   328 #       698311  ns 325
   329 #       698851  ns 326
   330 #       699391  ns 327
   331 #       699931  ns 328
   332 #       700471  ns 329
   333 #       700561  ns 330
   334 #       700621  ns 331
   335 #       700681  ns 332
   336 #       700801  ns 333
   337 #       701131  ns 334
   338 #       701461  ns 335
   339 #       701791  ns 336
   340 #       702121  ns 337
