 ================================================================================
 Tracefile : uvm_test_top.top_env_i.ahbfab_env_i.mvc_ahb_mon_8_env_i.logger_handle_ahb
           : /mnt/ussjf-asic2/workarea1/lkamired/niue1z1_tmp/lkamired/wa_performance/SIM/top/ahbfab_cov.m33i_ram0/uvm_test_top.top_env_i.ahbfab_env_i.mvc_ahb_mon_8_env_i_ahb_beat.log
 Logfile   : reports/ahbfab_cov.m33i_ram0/mvc_ahb_mon_8/window.log
 Script    : parse_ahb_tracker.pl 1.03.04
 Date      : 2018-09-12
 Time      :   16:15:54
 Cycle     :         40 ns
 Frequency :      25.00 MHz
 ================================================================================
 Starting time point out of bound to the upper side of trace window
 Ending   time point out of bound to the upper side of trace window
         Transaction                 1
         TransferTime           213940
         Pointer       HASH(0x49d7340)
         Transaction                 2
         TransferTime           215220
         Pointer       HASH(0x499e4b0)
         Transaction                 3
         TransferTime           216700
         Pointer       HASH(0x499e6f0)
         Transaction                 4
         TransferTime           217940
         Pointer       HASH(0x499e930)
         Transaction                 5
         TransferTime           219220
         Pointer       HASH(0x499eb70)
         Transaction                 6
         TransferTime           220340
         Pointer       HASH(0x499edb0)
         Transaction                 7
         TransferTime           221420
         Pointer       HASH(0x49e0428)
         Transaction                 8
         TransferTime           222660
         Pointer       HASH(0x49e0668)
         Transaction                 9
         TransferTime           223820
         Pointer       HASH(0x49e08a8)
         Transaction                10
         TransferTime           225060
         Pointer       HASH(0x49e0ae8)
         Transaction                11
         TransferTime           226140
         Pointer       HASH(0x49e0d28)
         Transaction                12
         TransferTime           227380
         Pointer       HASH(0x49e0f68)
         Transaction                13
         TransferTime           238460
         Pointer       HASH(0x49e11a8)
         Transaction                14
         TransferTime           239700
         Pointer       HASH(0x49e1410)
         Transaction                15
         TransferTime           290860
         Pointer       HASH(0x49e1650)
         Transaction                16
         TransferTime           292100
         Pointer       HASH(0x49e1890)
         Transaction                17
         TransferTime           293380
         Pointer       HASH(0x49e1ad0)
         Transaction                18
         TransferTime           294580
