   Picked  : Instance: uvm_test_top.top_env_i.ahbfab_env_i.mvc_ahb_mon_6_env_i.logger_handle_ahb :: Header
             Instance: uvm_test_top.top_env_i.ahbfab_env_i.mvc_ahb_mon_6_env_i.logger_handle_ahb
   Picked  : AHB Clk Cycle = 40 ns; AHB Clk Frequency = 25.00 MHz; Data bus width = 32 bits
             AHB Clk Cycle = 40 ns; AHB Clk Frequency = 25.00 MHz; Data bus width = 32 bits
   Skipped : ------------------------------------------------------------------------------------------------------------------------------------------
   Skipped : |NONSEQ/SEQ Assert Time |  HREADY Assert Time   |  DIR     |   ADDR   | BEAT  |  L |   DATA   |  RESP  | BURST| BURST   | H |    HSEL    |
   Skipped : |                       |                       |   -      |          |  NUM  |  E |          |        | Type | Size    | P |   (SLAVE   |
   Skipped : |                       |                       | PHASE    |          |       |  N |          |        |      |= 2^HSIZE| R |    INDEX)  |
   Skipped : |                       |                       |          |          |       |    |          |        |      | bytes   | O |            |
   Skipped : |                       |                       |          |          |       |    |          |        |      |         | T |            |
   Skipped : |                       |                       |          |          |       |    |          |        |      |         |   |            |
   Skipped : ------------------------------------------------------------------------------------------------------------------------------------------
   Picked  : |              606261 ns|              606266 ns|RD-NONSEQ | F8315248 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 1 |           0|
             |              606261 ns|              606266 ns|RD-NONSEQ | F8315248 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 1 |           0|
   Picked  : |              606266 ns|              606391 ns|RD-DATA   | F8315248 |  1/ 1 | -- | 0000000A |  OKAY  | ---- | ------- | - | ---------- |
             |              606266 ns|              606391 ns|RD-DATA   | F8315248 |  1/ 1 | -- | 0000000A |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              606441 ns|              606446 ns|WR-NONSEQ | F8315248 | ----- |  ? | -------- |  ----  |INCR  |    4    | 1 |           0|
             |              606441 ns|              606446 ns|WR-NONSEQ | F8315248 | ----- |  ? | -------- |  ----  |INCR  |    4    | 1 |           0|
   Picked  : |              606446 ns|              606576 ns|WR-DATA   | F8315248 |  1/ ? | -- | 00000005 |  OKAY  | ---- | ------- | - | ---------- |
             |              606446 ns|              606576 ns|WR-DATA   | F8315248 |  1/ ? | -- | 00000005 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              606611 ns|              606616 ns|RD-NONSEQ | F831524C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 1 |           0|
             |              606611 ns|              606616 ns|RD-NONSEQ | F831524C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 1 |           0|
   Picked  : |              606616 ns|              606731 ns|RD-DATA   | F831524C |  1/ 1 | -- | 0000000F |  OKAY  | ---- | ------- | - | ---------- |
             |              606616 ns|              606731 ns|RD-DATA   | F831524C |  1/ 1 | -- | 0000000F |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              606781 ns|              606786 ns|WR-NONSEQ | F831524C | ----- |  ? | -------- |  ----  |INCR  |    4    | 1 |           0|
             |              606781 ns|              606786 ns|WR-NONSEQ | F831524C | ----- |  ? | -------- |  ----  |INCR  |    4    | 1 |           0|
   Picked  : |              606786 ns|              606906 ns|WR-DATA   | F831524C |  1/ ? | -- | 00000005 |  OKAY  | ---- | ------- | - | ---------- |
             |              606786 ns|              606906 ns|WR-DATA   | F831524C |  1/ ? | -- | 00000005 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              606941 ns|              606946 ns|RD-NONSEQ | F8315250 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 1 |           0|
             |              606941 ns|              606946 ns|RD-NONSEQ | F8315250 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 1 |           0|
   Picked  : |              606946 ns|              607071 ns|RD-DATA   | F8315250 |  1/ 1 | -- | 0000000F |  OKAY  | ---- | ------- | - | ---------- |
             |              606946 ns|              607071 ns|RD-DATA   | F8315250 |  1/ 1 | -- | 0000000F |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              607116 ns|              607121 ns|WR-NONSEQ | F8315250 | ----- |  ? | -------- |  ----  |INCR  |    4    | 1 |           0|
             |              607116 ns|              607121 ns|WR-NONSEQ | F8315250 | ----- |  ? | -------- |  ----  |INCR  |    4    | 1 |           0|
   Picked  : |              607121 ns|              607236 ns|WR-DATA   | F8315250 |  1/ ? | -- | 00000005 |  OKAY  | ---- | ------- | - | ---------- |
             |              607121 ns|              607236 ns|WR-DATA   | F8315250 |  1/ ? | -- | 00000005 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              607271 ns|              607276 ns|RD-NONSEQ | F8315254 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 1 |           0|
             |              607271 ns|              607276 ns|RD-NONSEQ | F8315254 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 1 |           0|
   Picked  : |              607276 ns|              607401 ns|RD-DATA   | F8315254 |  1/ 1 | -- | 0000000A |  OKAY  | ---- | ------- | - | ---------- |
             |              607276 ns|              607401 ns|RD-DATA   | F8315254 |  1/ 1 | -- | 0000000A |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              607446 ns|              607451 ns|WR-NONSEQ | F8315254 | ----- |  ? | -------- |  ----  |INCR  |    4    | 1 |           0|
             |              607446 ns|              607451 ns|WR-NONSEQ | F8315254 | ----- |  ? | -------- |  ----  |INCR  |    4    | 1 |           0|
   Picked  : |              607451 ns|              607566 ns|WR-DATA   | F8315254 |  1/ ? | -- | 00000005 |  OKAY  | ---- | ------- | - | ---------- |
             |              607451 ns|              607566 ns|WR-DATA   | F8315254 |  1/ ? | -- | 00000005 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              607601 ns|              607606 ns|RD-NONSEQ | F8315258 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 1 |           0|
             |              607601 ns|              607606 ns|RD-NONSEQ | F8315258 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 1 |           0|
   Picked  : |              607606 ns|              607741 ns|RD-DATA   | F8315258 |  1/ 1 | -- | 0000000A |  OKAY  | ---- | ------- | - | ---------- |
             |              607606 ns|              607741 ns|RD-DATA   | F8315258 |  1/ 1 | -- | 0000000A |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              607781 ns|              607786 ns|WR-NONSEQ | F8315258 | ----- |  ? | -------- |  ----  |INCR  |    4    | 1 |           0|
             |              607781 ns|              607786 ns|WR-NONSEQ | F8315258 | ----- |  ? | -------- |  ----  |INCR  |    4    | 1 |           0|
   Picked  : |              607786 ns|              607906 ns|WR-DATA   | F8315258 |  1/ ? | -- | 00000005 |  OKAY  | ---- | ------- | - | ---------- |
             |              607786 ns|              607906 ns|WR-DATA   | F8315258 |  1/ ? | -- | 00000005 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              607941 ns|              607946 ns|RD-NONSEQ | F831525C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 1 |           0|
             |              607941 ns|              607946 ns|RD-NONSEQ | F831525C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 1 |           0|
   Picked  : |              607946 ns|              608061 ns|RD-DATA   | F831525C |  1/ 1 | -- | 0000000F |  OKAY  | ---- | ------- | - | ---------- |
             |              607946 ns|              608061 ns|RD-DATA   | F831525C |  1/ 1 | -- | 0000000F |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              608111 ns|              608116 ns|WR-NONSEQ | F831525C | ----- |  ? | -------- |  ----  |INCR  |    4    | 1 |           0|
             |              608111 ns|              608116 ns|WR-NONSEQ | F831525C | ----- |  ? | -------- |  ----  |INCR  |    4    | 1 |           0|
   Picked  : |              608116 ns|              608236 ns|WR-DATA   | F831525C |  1/ ? | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
             |              608116 ns|              608236 ns|WR-DATA   | F831525C |  1/ ? | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              608281 ns|              608286 ns|WR-NONSEQ | F8321190 | ----- |  ? | -------- |  ----  |INCR  |    4    | 1 |           0|
             |              608281 ns|              608286 ns|WR-NONSEQ | F8321190 | ----- |  ? | -------- |  ----  |INCR  |    4    | 1 |           0|
   Picked  : |              608286 ns|              608586 ns|WR-DATA   | F8321190 |  1/ ? | -- | 00000005 |  OKAY  | ---- | ------- | - | ---------- |
             |              608286 ns|              608586 ns|WR-DATA   | F8321190 |  1/ ? | -- | 00000005 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              608621 ns|              608626 ns|RD-NONSEQ | F8321190 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 1 |           0|
             |              608621 ns|              608626 ns|RD-NONSEQ | F8321190 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 1 |           0|
   Picked  : |              608626 ns|              608941 ns|RD-DATA   | F8321190 |  1/ 1 | -- | 00000005 |  OKAY  | ---- | ------- | - | ---------- |
             |              608626 ns|              608941 ns|RD-DATA   | F8321190 |  1/ 1 | -- | 00000005 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              608981 ns|              608986 ns|WR-NONSEQ | F8321194 | ----- |  ? | -------- |  ----  |INCR  |    4    | 1 |           0|
             |              608981 ns|              608986 ns|WR-NONSEQ | F8321194 | ----- |  ? | -------- |  ----  |INCR  |    4    | 1 |           0|
   Picked  : |              608986 ns|              609326 ns|WR-DATA   | F8321194 |  1/ ? | -- | 00000005 |  OKAY  | ---- | ------- | - | ---------- |
             |              608986 ns|              609326 ns|WR-DATA   | F8321194 |  1/ ? | -- | 00000005 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              609361 ns|              609366 ns|RD-NONSEQ | F8321194 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 1 |           0|
             |              609361 ns|              609366 ns|RD-NONSEQ | F8321194 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 1 |           0|
   Picked  : |              609366 ns|              609681 ns|RD-DATA   | F8321194 |  1/ 1 | -- | 00000005 |  OKAY  | ---- | ------- | - | ---------- |
             |              609366 ns|              609681 ns|RD-DATA   | F8321194 |  1/ 1 | -- | 00000005 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              609736 ns|              609741 ns|WR-NONSEQ | F8321198 | ----- |  ? | -------- |  ----  |INCR  |    4    | 1 |           0|
             |              609736 ns|              609741 ns|WR-NONSEQ | F8321198 | ----- |  ? | -------- |  ----  |INCR  |    4    | 1 |           0|
   Picked  : |              609741 ns|              610026 ns|WR-DATA   | F8321198 |  1/ ? | -- | 00000005 |  OKAY  | ---- | ------- | - | ---------- |
