Instance: uvm_test_top.top_env_i.ahbfab_env_i.mvc_ahb_mst_0_env_i.logger_handle_ahb
AHB Clk Cycle = 40 ns; AHB Clk Frequency = 25.00 MHz; Data bus width = 32 bits
------------------------------------------------------------------------------------------------------------------------------------------
|NONSEQ/SEQ Assert Time |  HREADY Assert Time   |  DIR     |   ADDR   | BEAT  |  L |   DATA   |  RESP  | BURST| BURST   | H |    HSEL    |
|                       |                       |   -      |          |  NUM  |  E |          |        | Type | Size    | P |   (SLAVE   |
|                       |                       | PHASE    |          |       |  N |          |        |      |= 2^HSIZE| R |    INDEX)  |
|                       |                       |          |          |       |    |          |        |      | bytes   | O |            |
|                       |                       |          |          |       |    |          |        |      |         | T |            |
|                       |                       |          |          |       |    |          |        |      |         |   |            |
------------------------------------------------------------------------------------------------------------------------------------------
|              609431 ns|              609436 ns|WR-NONSEQ | 8DE9581A | ----- |  8 | -------- |  ----  |WRAP8 |    2    | 6 |           0|
|              609436 ns|              609446 ns|WR-DATA   | 8DE9581A |  1/ 8 | -- | 134C.... |  OKAY  | ---- | ------- | - | ---------- |
|              609446 ns|              609451 ns|WR-DATA   | 8DE9581C |  2/ 8 | -- | ....394A |  OKAY  | ---- | ------- | - | ---------- |
|              609451 ns|              609456 ns|WR-DATA   | 8DE9581E |  3/ 8 | -- | F376.... |  OKAY  | ---- | ------- | - | ---------- |
|              609456 ns|              609461 ns|WR-DATA   | 8DE95810 |  4/ 8 | -- | ....0F81 |  OKAY  | ---- | ------- | - | ---------- |
|              609461 ns|              609466 ns|WR-BUSY   | 8DE95812 |  5/ 8 | -- | E0E9.... |  OKAY  | ---- | ------- | - | ---------- |
|              609466 ns|              609471 ns|WR-DATA   | 8DE95812 |  5/ 8 | -- | E0E9.... |  OKAY  | ---- | ------- | - | ---------- |
|              609471 ns|              609476 ns|WR-DATA   | 8DE95814 |  6/ 8 | -- | ....5496 |  OKAY  | ---- | ------- | - | ---------- |
|              609476 ns|              609481 ns|WR-DATA   | 8DE95816 |  7/ 8 | -- | 8A33.... |  OKAY  | ---- | ------- | - | ---------- |
|              609481 ns|              609506 ns|WR-DATA   | 8DE95818 |  8/ 8 | -- | ....6E1B |  OKAY  | ---- | ------- | - | ---------- |
|              609511 ns|              609516 ns|RD-NONSEQ | 8DE9581A | ----- |  8 | -------- |  ----  |WRAP8 |    2    | 5 |           0|
|              609516 ns|              609541 ns|RD-DATA   | 8DE9581A |  1/ 8 | -- | 134C.... |  OKAY  | ---- | ------- | - | ---------- |
|              609541 ns|              609546 ns|RD-DATA   | 8DE9581C |  2/ 8 | -- | ....394A |  OKAY  | ---- | ------- | - | ---------- |
|              609546 ns|              609551 ns|RD-DATA   | 8DE9581E |  3/ 8 | -- | F376.... |  OKAY  | ---- | ------- | - | ---------- |
|              609551 ns|              609556 ns|RD-DATA   | 8DE95810 |  4/ 8 | -- | ....0F81 |  OKAY  | ---- | ------- | - | ---------- |
|              609556 ns|              609561 ns|RD-BUSY   | 8DE95812 |  5/ 8 | -- | E0E9.... |  OKAY  | ---- | ------- | - | ---------- |
|              609561 ns|              609566 ns|RD-DATA   | 8DE95812 |  5/ 8 | -- | E0E9.... |  OKAY  | ---- | ------- | - | ---------- |
|              609566 ns|              609571 ns|RD-DATA   | 8DE95814 |  6/ 8 | -- | ....5496 |  OKAY  | ---- | ------- | - | ---------- |
|              609571 ns|              609576 ns|RD-DATA   | 8DE95816 |  7/ 8 | -- | 8A33.... |  OKAY  | ---- | ------- | - | ---------- |
|              609576 ns|              609581 ns|RD-DATA   | 8DE95818 |  8/ 8 | -- | ....6E1B |  OKAY  | ---- | ------- | - | ---------- |
|              609581 ns|              609586 ns|WR-NONSEQ | 8DE95A88 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 6 |           0|
|              609586 ns|              609616 ns|WR-DATA   | 8DE95A88 |  1/ 1 | -- | EE457A4A |  OKAY  | ---- | ------- | - | ---------- |
