Instance: uvm_test_top.top_env_i.ahbfab_env_i.mvc_ahb_mst_5_env_i.logger_handle_ahb
AHB Clk Cycle = 5 ns; AHB Clk Frequency = 200.00 MHz; Data bus width = 32 bits
------------------------------------------------------------------------------------------------------------------------------------------
|NONSEQ/SEQ Assert Time |  HREADY Assert Time   |  DIR     |   ADDR   | BEAT  |  L |   DATA   |  RESP  | BURST| BURST   | H |    HSEL    |
|                       |                       |   -      |          |  NUM  |  E |          |        | Type | Size    | P |   (SLAVE   |
|                       |                       | PHASE    |          |       |  N |          |        |      |= 2^HSIZE| R |    INDEX)  |
|                       |                       |          |          |       |    |          |        |      | bytes   | O |            |
|                       |                       |          |          |       |    |          |        |      |         | T |            |
|                       |                       |          |          |       |    |          |        |      |         |   |            |
------------------------------------------------------------------------------------------------------------------------------------------
|              677556 ns|              677561 ns|WR-NONSEQ | AFCD6C10 | ----- |  4 | -------- |  ----  |INCR4 |    4    | A |           0|
|              677561 ns|              677576 ns|WR-DATA   | AFCD6C10 |  1/ 4 | -- | 148830AE |  OKAY  | ---- | ------- | - | ---------- |
|              677576 ns|              677581 ns|WR-DATA   | AFCD6C14 |  2/ 4 | -- | 21834C4E |  OKAY  | ---- | ------- | - | ---------- |
|              677581 ns|              677586 ns|WR-DATA   | AFCD6C18 |  3/ 4 | -- | 3B1DC2AD |  OKAY  | ---- | ------- | - | ---------- |
|              677586 ns|              677631 ns|WR-NONSEQ | AFCD6C20 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 8 |           0|
|              677586 ns|              677631 ns|WR-DATA   | AFCD6C1C |  1/ 4 | -- | 6845B0AC |  OKAY  | ---- | ------- | - | ---------- |
|              677631 ns|              677641 ns|WR-DATA   | AFCD6C20 |  2/ 4 | -- | 8F1DEDB9 |  OKAY  | ---- | ------- | - | ---------- |
|              677641 ns|              677646 ns|WR-DATA   | AFCD6C24 |  3/ 4 | -- | C6B9588C |  OKAY  | ---- | ------- | - | ---------- |
|              677646 ns|              677651 ns|WR-DATA   | AFCD6C28 |  4/ 4 | -- | 6DB26E32 |  OKAY  | ---- | ------- | - | ---------- |
|              677651 ns|              677696 ns|WR-NONSEQ | AFCD6C30 | ----- |  4 | -------- |  ----  |INCR4 |    4    | E |           0|
|              677651 ns|              677696 ns|WR-DATA   | AFCD6C2C |  1/ 4 | -- | F42574EF |  OKAY  | ---- | ------- | - | ---------- |
|              677696 ns|              677706 ns|WR-DATA   | AFCD6C30 |  2/ 4 | -- | 2F699F7B |  OKAY  | ---- | ------- | - | ---------- |
|              677706 ns|              677711 ns|WR-DATA   | AFCD6C34 |  3/ 4 | -- | 330E88F8 |  OKAY  | ---- | ------- | - | ---------- |
|              677711 ns|              677716 ns|WR-DATA   | AFCD6C38 |  4/ 4 | -- | 3012C222 |  OKAY  | ---- | ------- | - | ---------- |
|              677716 ns|              677761 ns|WR-NONSEQ | AFCD6C40 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 6 |           0|
|              677716 ns|              677761 ns|WR-DATA   | AFCD6C3C |  1/ 4 | -- | 8234643E |  OKAY  | ---- | ------- | - | ---------- |
|              677761 ns|              677771 ns|WR-DATA   | AFCD6C40 |  2/ 4 | -- | 02A318BC |  OKAY  | ---- | ------- | - | ---------- |
|              677771 ns|              677776 ns|WR-DATA   | AFCD6C44 |  3/ 4 | -- | AF5B62F0 |  OKAY  | ---- | ------- | - | ---------- |
|              677776 ns|              677781 ns|WR-DATA   | AFCD6C48 |  4/ 4 | -- | B7F8ED8D |  OKAY  | ---- | ------- | - | ---------- |
|              677781 ns|              677821 ns|WR-NONSEQ | AFCD6C50 | ----- |  4 | -------- |  ----  |INCR4 |    4    | A |           0|
|              677781 ns|              677821 ns|WR-DATA   | AFCD6C4C |  1/ 4 | -- | 713B6E1B |  OKAY  | ---- | ------- | - | ---------- |
|              677821 ns|              677831 ns|WR-DATA   | AFCD6C50 |  2/ 4 | -- | 195C3514 |  OKAY  | ---- | ------- | - | ---------- |
|              677831 ns|              677836 ns|WR-DATA   | AFCD6C54 |  3/ 4 | -- | 57B8653A |  OKAY  | ---- | ------- | - | ---------- |
|              677836 ns|              677841 ns|WR-DATA   | AFCD6C58 |  4/ 4 | -- | 453F26F0 |  OKAY  | ---- | ------- | - | ---------- |
|              677841 ns|              677886 ns|WR-NONSEQ | AFCD6C60 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 1 |           0|
|              677841 ns|              677886 ns|WR-DATA   | AFCD6C5C |  1/ 4 | -- | DBCAAAEE |  OKAY  | ---- | ------- | - | ---------- |
|              677886 ns|              677896 ns|WR-DATA   | AFCD6C60 |  2/ 4 | -- | 021402D9 |  OKAY  | ---- | ------- | - | ---------- |
|              677896 ns|              677901 ns|WR-DATA   | AFCD6C64 |  3/ 4 | -- | 8EC17B2E |  OKAY  | ---- | ------- | - | ---------- |
|              677901 ns|              677906 ns|WR-DATA   | AFCD6C68 |  4/ 4 | -- | 239871A7 |  OKAY  | ---- | ------- | - | ---------- |
|              677906 ns|              677946 ns|WR-NONSEQ | AFCD6C70 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 6 |           0|
|              677906 ns|              677946 ns|WR-DATA   | AFCD6C6C |  1/ 4 | -- | 445AC894 |  OKAY  | ---- | ------- | - | ---------- |
