 ================================================================================
 Tracefile : uvm_test_top.top_env_i.ahbfab_env_i.mvc_ahb_mon_8_env_i.logger_handle_ahb
 Script    : parse_ahb_tracker.pl 1.04.01
 Date      : 2018-09-22
 Time      :   17:23:56
 Cycle     :         40 ns
 Frequency :      25.00 MHz
 ================================================================================
             Transaction   :          1
             Burst Type    :     SINGLE

             Transaction   :          2
             Burst Type    :     SINGLE

             Transaction   :          3
             Burst Type    :     SINGLE

             Transaction   :          4
             Burst Type    :     SINGLE

             Transaction   :          5
             Burst Type    :     SINGLE

             Transaction   :          6
             Burst Type    :     SINGLE

             Transaction   :          7
             Burst Type    :     SINGLE

             Transaction   :          8
             Burst Type    :     SINGLE

             Transaction   :          9
             Burst Type    :     SINGLE

             Transaction   :         10
             Burst Type    :     SINGLE

             Transaction   :         11
             Burst Type    :     SINGLE

             Transaction   :         12
             Burst Type    :     SINGLE

             Transaction   :         13
             Burst Type    :     SINGLE

             Transaction   :         14
             Burst Type    :     SINGLE

             Transaction   :         15
             Burst Type    :     SINGLE

             Transaction   :         16
             Burst Type    :     SINGLE

             Transaction   :         17
             Burst Type    :     SINGLE

             Transaction   :         18
             Burst Type    :     SINGLE

             Transaction   :         19
             Burst Type    :     SINGLE

             Transaction   :         20
             Burst Type    :     SINGLE

             Transaction   :         21
             Burst Type    :     SINGLE

             Transaction   :         22
             Burst Type    :     SINGLE

             Transaction   :         23
             Burst Type    :     SINGLE

             Transaction   :         24
             Burst Type    :     SINGLE

             Transaction   :         25
             Burst Type    :     SINGLE

             Transaction   :         26
             Burst Type    :     SINGLE

             Transaction   :         27
             Burst Type    :     SINGLE

             Transaction   :         28
             Burst Type    :     SINGLE

             Transaction   :         29
             Burst Type    :     SINGLE

             Transaction   :         30
             Burst Type    :     SINGLE

             Transaction   :         31
             Burst Type    :     SINGLE

             Transaction   :         32
             Burst Type    :     SINGLE

             Transaction   :         33
             Burst Type    :     SINGLE

             Transaction   :         34
             Burst Type    :     SINGLE

             Transaction   :         35
             Burst Type    :     SINGLE

             Transaction   :         36
             Burst Type    :     SINGLE

             Transaction   :         37
             Burst Type    :     SINGLE

             Transaction   :         38
             Burst Type    :     SINGLE

             Transaction   :         39
             Burst Type    :     SINGLE

             Transaction   :         40
             Burst Type    :     SINGLE

             Transaction   :         41
             Burst Type    :     SINGLE

             Transaction   :         42
             Burst Type    :     SINGLE

             Transaction   :         43
             Burst Type    :     SINGLE

             Transaction   :         44
             Burst Type    :     SINGLE

             Transaction   :         45
             Burst Type    :     SINGLE

             Transaction   :         46
             Burst Type    :     SINGLE

             Transaction   :         47
             Burst Type    :     SINGLE

             Transaction   :         48
             Burst Type    :     SINGLE

             Transaction   :         49
             Burst Type    :     SINGLE

             Transaction   :         50
             Burst Type    :     SINGLE

             Transaction   :         51
             Burst Type    :     SINGLE

             Transaction   :         52
             Burst Type    :     SINGLE

             Transaction   :         53
             Burst Type    :     SINGLE

             Transaction   :         54
             Burst Type    :     SINGLE

             Transaction   :         55
             Burst Type    :     SINGLE

             Transaction   :         56
             Burst Type    :     SINGLE

             Transaction   :         57
             Burst Type    :     SINGLE

             Transaction   :         58
             Burst Type    :     SINGLE

             Transaction   :         59
             Burst Type    :     SINGLE

             Transaction   :         60
             Burst Type    :     SINGLE

             Transaction   :         61
             Burst Type    :     SINGLE

             Transaction   :         62
             Burst Type    :     SINGLE

             Transaction   :         63
             Burst Type    :     SINGLE

             Transaction   :         64
             Burst Type    :     SINGLE

             Transaction   :         65
             Burst Type    :     SINGLE

             Transaction   :         66
             Burst Type    :     SINGLE

             Transaction   :         67
             Burst Type    :     SINGLE

             Transaction   :         68
             Burst Type    :     SINGLE

             Transaction   :         69
             Burst Type    :     SINGLE

             Transaction   :         70
             Burst Type    :     SINGLE

             Transaction   :         71
             Burst Type    :     SINGLE

             Transaction   :         72
             Burst Type    :     SINGLE

             Transaction   :         73
             Burst Type    :     SINGLE

             Transaction   :         74
             Burst Type    :     SINGLE

             Transaction   :         75
             Burst Type    :     SINGLE

             Transaction   :         76
             Burst Type    :     SINGLE

             Transaction   :         77
             Burst Type    :     SINGLE

             Transaction   :         78
             Burst Type    :     SINGLE

             Transaction   :         79
             Burst Type    :     SINGLE

             Transaction   :         80
             Burst Type    :     SINGLE

             Transaction   :         81
             Burst Type    :     SINGLE

             Transaction   :         82
             Burst Type    :     SINGLE

             Transaction   :         83
             Burst Type    :     SINGLE

             Transaction   :         84
             Burst Type    :     SINGLE

             Transaction   :         85
             Burst Type    :     SINGLE

             Transaction   :         86
             Burst Type    :     SINGLE

             Transaction   :         87
             Burst Type    :     SINGLE

             Transaction   :         88
             Burst Type    :     SINGLE

             Transaction   :         89
             Burst Type    :     SINGLE

             Transaction   :         90
             Burst Type    :     SINGLE

             Transaction   :         91
             Burst Type    :     SINGLE

             Transaction   :         92
             Burst Type    :     SINGLE

             Transaction   :         93
             Burst Type    :     SINGLE

             Transaction   :         94
             Burst Type    :     SINGLE

             Transaction   :         95
             Burst Type    :     SINGLE

             Transaction   :         96
             Burst Type    :     SINGLE

             Transaction   :         97
             Burst Type    :     SINGLE

             Transaction   :         98
             Burst Type    :     SINGLE

             Transaction   :         99
             Burst Type    :     SINGLE

             Transaction   :        100
             Burst Type    :     SINGLE

             Transaction   :        101
             Burst Type    :     SINGLE

             Transaction   :        102
             Burst Type    :     SINGLE

             Transaction   :        103
             Burst Type    :     SINGLE

             Transaction   :        104
             Burst Type    :     SINGLE

             Transaction   :        105
             Burst Type    :     SINGLE

             Transaction   :        106
             Burst Type    :     SINGLE

             Transaction   :        107
             Burst Type    :     SINGLE

             Transaction   :        108
             Burst Type    :     SINGLE

             Transaction   :        109
             Burst Type    :     SINGLE

             Transaction   :        110
             Burst Type    :     SINGLE

             Transaction   :        111
             Burst Type    :     SINGLE

             Transaction   :        112
             Burst Type    :     SINGLE

             Transaction   :        113
             Burst Type    :     SINGLE

             Transaction   :        114
             Burst Type    :     SINGLE

             Transaction   :        115
             Burst Type    :     SINGLE

             Transaction   :        116
             Burst Type    :     SINGLE

             Transaction   :        117
             Burst Type    :     SINGLE

             Transaction   :        118
             Burst Type    :     SINGLE

             Transaction   :        119
             Burst Type    :     SINGLE

             Transaction   :        120
             Burst Type    :     SINGLE

             Transaction   :        121
             Burst Type    :     SINGLE

             Transaction   :        122
             Burst Type    :     SINGLE

             Transaction   :        123
             Burst Type    :     SINGLE

             Transaction   :        124
             Burst Type    :     SINGLE

             Transaction   :        125
             Burst Type    :     SINGLE

             Transaction   :        126
             Burst Type    :     SINGLE

             Transaction   :        127
             Burst Type    :     SINGLE

             Transaction   :        128
             Burst Type    :     SINGLE

             Transaction   :        129
             Burst Type    :     SINGLE

             Transaction   :        130
             Burst Type    :     SINGLE

             Transaction   :        131
             Burst Type    :     SINGLE

             Transaction   :        132
             Burst Type    :     SINGLE

             Transaction   :        133
             Burst Type    :     SINGLE

             Transaction   :        134
             Burst Type    :     SINGLE

             Transaction   :        135
             Burst Type    :     SINGLE

             Transaction   :        136
             Burst Type    :     SINGLE

             Transaction   :        137
             Burst Type    :     SINGLE

             Transaction   :        138
             Burst Type    :     SINGLE

             Transaction   :        139
             Burst Type    :     SINGLE

             Transaction   :        140
             Burst Type    :     SINGLE

             Transaction   :        141
             Burst Type    :     SINGLE

             Transaction   :        142
             Burst Type    :     SINGLE

             Transaction   :        143
             Burst Type    :     SINGLE

             Transaction   :        144
             Burst Type    :     SINGLE

             Transaction   :        145
             Burst Type    :     SINGLE

             Transaction   :        146
             Burst Type    :     SINGLE

             Transaction   :        147
             Burst Type    :     SINGLE

             Transaction   :        148
             Burst Type    :     SINGLE

             Transaction   :        149
             Burst Type    :     SINGLE

             Transaction   :        150
             Burst Type    :     SINGLE

             Transaction   :        151
             Burst Type    :     SINGLE

             Transaction   :        152
             Burst Type    :     SINGLE

             Transaction   :        153
