Instance: uvm_test_top.ahbfab_env_i.mvc_ahb_mst_5_env_i.logger_handle_ahb
AHB Clk Cycle = 5026 ps; AHB Clk Frequency = 198.97 MHz; Data bus width = 32 bits
------------------------------------------------------------------------------------------------------------------------------------------
|NONSEQ/SEQ Assert Time |  HREADY Assert Time   |  DIR     |   ADDR   | BEAT  |  L |   DATA   |  RESP  | BURST| BURST   | H |    HSEL    |
|                       |                       |   -      |          |  NUM  |  E |          |        | Type | Size    | P |   (SLAVE   |
|                       |                       | PHASE    |          |       |  N |          |        |      |= 2^HSIZE| R |    INDEX)  |
|                       |                       |          |          |       |    |          |        |      | bytes   | O |            |
|                       |                       |          |          |       |    |          |        |      |         | T |            |
|                       |                       |          |          |       |    |          |        |      |         |   |            |
------------------------------------------------------------------------------------------------------------------------------------------
|             6081364 ps|             6086464 ps|WR-NONSEQ | 3FF17010 | ----- |  1 | -------- |  ----  |SINGLE|    4    | F |           0|
|             6086464 ps|             6601808 ps|WR-NONSEQ | 3FF17020 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 2 |           0|
|             6086464 ps|             6601808 ps|WR-DATA   | 3FF17010 |  1/ 1 | -- | CE283AB2 |  OKAY  | ---- | ------- | - | ---------- |
|             6601808 ps|             6606884 ps|WR-NONSEQ | 3FF17030 | ----- |  1 | -------- |  ----  |SINGLE|    4    | E |           0|
|             6601808 ps|             6606884 ps|WR-DATA   | 3FF17020 |  1/ 1 | -- | 38EDBE9E |  OKAY  | ---- | ------- | - | ---------- |
|             6606884 ps|             6611960 ps|WR-NONSEQ | 3FF17040 | ----- |  1 | -------- |  ----  |SINGLE|    4    | A |           0|
|             6606884 ps|             6611960 ps|WR-DATA   | 3FF17030 |  1/ 1 | -- | 744A2AA2 |  OKAY  | ---- | ------- | - | ---------- |
|             6611960 ps|             6617060 ps|WR-NONSEQ | 3FF17050 | ----- |  1 | -------- |  ----  |SINGLE|    4    | C |           0|
|             6611960 ps|             6617060 ps|WR-DATA   | 3FF17040 |  1/ 1 | -- | 0182DE76 |  OKAY  | ---- | ------- | - | ---------- |
|             6617060 ps|             6621960 ps|WR-NONSEQ | 3FF17060 | ----- |  1 | -------- |  ----  |SINGLE|    4    | D |           0|
|             6617060 ps|             6621960 ps|WR-DATA   | 3FF17050 |  1/ 1 | -- | A2159D31 |  OKAY  | ---- | ------- | - | ---------- |
|             6621960 ps|             6627060 ps|WR-NONSEQ | 3FF17070 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 2 |           0|
|             6621960 ps|             6627060 ps|WR-DATA   | 3FF17060 |  1/ 1 | -- | E7D7F7B1 |  OKAY  | ---- | ------- | - | ---------- |
|             6627060 ps|             6631986 ps|WR-NONSEQ | 3FF17080 | ----- |  1 | -------- |  ----  |SINGLE|    4    | E |           0|
|             6627060 ps|             6631986 ps|WR-DATA   | 3FF17070 |  1/ 1 | -- | 23AA6ACA |  OKAY  | ---- | ------- | - | ---------- |
|             6631986 ps|             6637036 ps|WR-NONSEQ | 3FF17090 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 9 |           0|
|             6631986 ps|             6637036 ps|WR-DATA   | 3FF17080 |  1/ 1 | -- | 68A73310 |  OKAY  | ---- | ------- | - | ---------- |
|             6637036 ps|             6642136 ps|WR-NONSEQ | 3FF170A0 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 1 |           0|
|             6637036 ps|             6642136 ps|WR-DATA   | 3FF17090 |  1/ 1 | -- | BC839A57 |  OKAY  | ---- | ------- | - | ---------- |
|             6642136 ps|             6647162 ps|WR-NONSEQ | 3FF170B0 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 9 |           0|
|             6642136 ps|             6647162 ps|WR-DATA   | 3FF170A0 |  1/ 1 | -- | 0EF75BFD |  OKAY  | ---- | ------- | - | ---------- |
|             6647162 ps|             6652138 ps|WR-NONSEQ | 3FF170C0 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 8 |           0|
|             6647162 ps|             6652138 ps|WR-DATA   | 3FF170B0 |  1/ 1 | -- | D5F5CC0D |  OKAY  | ---- | ------- | - | ---------- |
|             6652138 ps|             6657188 ps|WR-NONSEQ | 3FF170D0 | ----- |  1 | -------- |  ----  |SINGLE|    4    | A |           0|
|             6652138 ps|             6657188 ps|WR-DATA   | 3FF170C0 |  1/ 1 | -- | 71A82EC1 |  OKAY  | ---- | ------- | - | ---------- |
|             6657188 ps|             6662088 ps|WR-NONSEQ | 3FF170E0 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 8 |           0|
|             6657188 ps|             6662088 ps|WR-DATA   | 3FF170D0 |  1/ 1 | -- | DB046B83 |  OKAY  | ---- | ------- | - | ---------- |
|             6662088 ps|             6667014 ps|WR-NONSEQ | 3FF170F0 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
|             6662088 ps|             6667014 ps|WR-DATA   | 3FF170E0 |  1/ 1 | -- | A1B5DEDD |  OKAY  | ---- | ------- | - | ---------- |
|             6667014 ps|             6671940 ps|WR-NONSEQ | 3FF17100 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 8 |           0|
|             6667014 ps|             6671940 ps|WR-DATA   | 3FF170F0 |  1/ 1 | -- | 6FFA12CA |  OKAY  | ---- | ------- | - | ---------- |
