                  log_arrayref | File::IO::Log
                    print_line | DS::Array
          checking_environment | Create::App
           list_module_version | DS::Hash
               get_packagename | App::Modules
             t_function_header | Terminal
                       t_blank | Terminal
                           new | Create::App
                 set_postamble | App::Performance
                  create_files | main
       sample_timingresolution | App::Performance
                        t_okay | Terminal
                 calc_run_time | App::Performance
                       message | App::Performance
                   getSubNames | App::Dbg::ST
                        t_list | Terminal
                         BLINK | Terminal
                     intersect | DS::Array
     modulename_from_namespace | DS::Hash
                        t_warn | Terminal
                        t_help | Terminal
           get_all_subroutines | App
                     elaborate | Create::App
            get_symboltableRef | App::Modules
              globslot_is_code | App::Dbg::ST
                     transpose | DS::Array
                    capitalize | DS::String
                      get_subs | Create::App
              evaluate_success | App::Performance
                       prepend | DS::Array
                _printf_scalar | DS
               read_utf8_slurp | File::IO::UTF8
                        append | DS::Array
                    clone_file | main
                     starttime | App::Performance
                     list_hash | DS::Hash
          get_ModulesInstalled | App::Modules
                  sizeofstring | DS::String
                            qv | Terminal
                      list_ref | DS
                 SizeOfHashRef | DS::Hash
               get_SymbolTable | App::Modules
                          BOLD | Terminal
                        t_note | Terminal
            getSymbolTableHash | App::Dbg::ST
                   get_Version | App::Dbg::ST
                _iterate_array | DS
                   columnwidth | DS::Array
          get_ModuleSearchpath | App::Modules
                     bulldozer | main
                  gettimeofday | App::Performance
                 get_namespace | App::Modules
                      Readonly | DS
                  namespace_of | DS::Hash
             installed_modules | DS::Array
                      stoptime | App::Performance
                       size_of | DS::String
                    on_defined | Terminal
          getListofSubroutines | App::Dbg::ST
              globslot_is_hash | App::Dbg::ST
                   check_cline | Create::API
                     uppercase | DS::String
                    clone_aref | DS::Array
                       inspect | Create::App
                    whitespace | App::Performance
                 _peeking_glob | DS
                  log_activity | File::IO::Log
                  create_guard | Create::App
                      filename | File::IO::Log
                       t_usage | Terminal
                         GREEN | Terminal
                  get_Packages | App::Modules
                     Namespace | App::Dbg::ST
                       runtime | App::Performance
                     read_utf8 | File::IO::UTF8
                 DebugFeatures | Dbg
                    prune_hash | DS::Hash
             globslot_is_array | App::Dbg::ST
               prepare_cloning | Create::App
                 _iterate_hash | DS
                   inspect_api | Create::App
                 intersect_api | App
                 _unknown_warn | DS
            create_environment | main
                       get_api | Create::App
                  DebugControl | Dbg
                        t_info | Terminal
                   log_hashref | File::IO::Log
                  get_lib_subs | App
                 get_Namespace | App::Dbg::ST
             get_ModuleVersion | App::Modules
                    GetOptions | Create::API
          list_SymbolTableSlot | App::Modules
               debug_debugging | main
               display_Symbols | App::Modules
                           get | Create::App
                       max_key | DS::Hash
                     lowercase | DS::String
                     terminate | Create::App
                   get_options | Create::App
              get_typeglobslot | App::Dbg::ST
                      aligning | DS::Array
                   elapsedtime | App::Performance
                      t_custom | Terminal
                           RED | Terminal
                 get_globtypes | App::Dbg::ST
                         RESET | Terminal
              read_utf8_string | File::IO::UTF8
                 unpack_string | DS::Array
                     max_value | DS::Hash
                   append_utf8 | File::IO::UTF8
               get_Subroutines | App::Dbg::ST
                        t_exit | Terminal
                          line | App::Performance
                    subroutine | DS::String
              globslot_is_glob | App::Dbg::ST
                        YELLOW | Terminal
                     on_exists | Terminal
                  list_modules | DS::Hash
                    get_config | Create::App
                determineWidth | DS::Hash
                        update | Create::App
                      run_time | App::Performance
                list_Namespace | App::Dbg::ST
              activity_message | File::IO::Log
                  log2_hashref | File::IO::Log
             unify_symboltable | App::Modules
                    list_array | DS::Array
           compile_subroutines | App
                   get_Symbols | App::Dbg::ST
            globslot_is_scalar | App::Dbg::ST
                       MAGENTA | Terminal
                    list_table | DS::Array
                       get_all | App::Modules
                        unique | File::IO::Log
                 iterate_files | main
       list_unifiedSymbolTable | App::Modules
                        import | Terminal
                    write_utf8 | File::IO::UTF8
                          BLUE | Terminal
                         debug | DS::String
            get_FullModulePath | App::Dbg::ST
                   ListModules | Dbg
                   prune_cline | Create::API
                      maxwidth | Terminal
                    array2hash | DS::Hash
                       padding | App::Dbg::ST
